logFC	logCPM	LR	PValue	FDR	geneId
3.290930732	6.444537136	454.5243746	7.47E-101	1.43E-96	AT3G48100
2.495202635	5.979808498	382.6314471	3.33E-85	3.18E-81	AT5G62920
2.36813139	6.802427628	353.2915376	8.14E-79	5.18E-75	AT4G15230
2.68938594	4.987437845	345.4870205	4.07E-77	1.95E-73	AT2G20080
2.287595462	5.366330656	340.7789867	4.32E-76	1.65E-72	AT3G29670
2.432884522	6.808687472	324.6940322	1.38E-72	4.38E-69	AT1G67110
2.601227826	4.591921823	317.4672727	5.16E-71	1.41E-67	AT1G75450
2.153124005	5.275365249	297.5385006	1.13E-66	2.71E-63	AT1G12710
2.499209928	6.753136176	270.3687727	9.43E-61	2.00E-57	AT1G19050
2.027618936	6.275380968	238.2403018	9.51E-54	1.82E-50	AT5G51780
1.752183949	7.169142335	222.3027149	2.85E-50	4.94E-47	AT1G13420
1.753651472	6.125292955	221.9274202	3.44E-50	5.47E-47	AT1G12740
2.178452302	5.860274607	216.5855888	5.03E-49	7.39E-46	AT3G50300
2.2470422	3.332107263	214.3794031	1.52E-48	2.08E-45	AT3G05770
2.154702719	4.865373498	213.9533205	1.89E-48	2.40E-45	AT1G67195
1.856493376	6.600417257	211.3647896	6.92E-48	8.27E-45	AT2G17820
1.716522549	6.149613516	209.0247089	2.24E-47	2.52E-44	AT1G04240
2.367672714	3.570384191	200.4180059	1.69E-45	1.80E-42	AT5G65030
2.032233403	3.568437851	193.135653	6.58E-44	6.62E-41	AT4G21120
1.774158331	4.987970902	192.8448709	7.61E-44	7.27E-41	AT3G18773
2.88646476	4.320430109	189.0883359	5.03E-43	4.58E-40	AT5G56320
1.848916474	5.997961413	185.3940402	3.22E-42	2.80E-39	AT2G41310
1.892568834	5.343807605	181.6384822	2.13E-41	1.77E-38	AT5G67620
3.12158595	2.405251026	180.5355825	3.70E-41	2.95E-38	AT1G34330
2.195536132	6.437795183	178.7388174	9.14E-41	6.99E-38	AT2G25160
2.134493056	3.416962083	176.9787103	2.21E-40	1.63E-37	AT5G14070
2.413335135	3.761886825	175.4703401	4.73E-40	3.35E-37	AT1G49450
3.339239129	2.9945113	172.5120527	2.09E-39	1.43E-36	AT5G56970
4.035553637	2.089912579	171.5546801	3.39E-39	2.23E-36	AT2G40670
3.813160827	2.355640151	166.3675885	4.60E-38	2.93E-35	AT1G74890
3.834578832	1.637106798	165.5787208	6.84E-38	4.22E-35	AT2G46660
5.601133201	1.920003602	150.2056034	1.56E-34	9.34E-32	AT3G56380
4.360535282	2.196210053	147.2589142	6.89E-34	3.99E-31	AT2G43470
1.881486312	7.50713887	144.2603326	3.12E-33	1.75E-30	AT1G10470
2.429713559	6.627625909	140.5336374	2.03E-32	1.11E-29	AT5G47980
2.780365689	5.87692357	140.2688287	2.33E-32	1.23E-29	AT3G44326
1.476830169	4.451693917	138.9297003	4.56E-32	2.36E-29	AT1G13740
2.388558066	6.767768651	136.512039	1.54E-31	7.76E-29	AT1G03850
2.146630493	3.516356637	136.2573164	1.75E-31	8.59E-29	AT4G29740
2.027914176	4.450440041	136.1643581	1.84E-31	8.78E-29	AT5G62420
